Model,Mean CV R^2,Test R^2,Best Alpha
Linear Regression,0.7163783428608372,0.7709689565258755,
Ridge Regression,0.7237470169809361,0.7712852239038654,16.768329368110066
Lasso Regression,0.7238352350955293,0.7713081174182599,0.0062505519252739694
